Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA230, 0.00575214,    89.70,  0.0058112,   -30.08, 0.00575005,  -149.80,          0,     0.00, 0.000103021,   -30.68,  0.0049304,   -90.30, 0.00498103,   149.92, 0.00492861,    30.20,          0,     0.00, 8.8304E-005,   149.32
Line.LINHA231,  0.0049304,    89.70, 0.00498103,   -30.08, 0.00492861,  -149.80,          0,     0.00, 8.83038E-005,   -30.68, 0.00410867,   -90.30, 0.00415086,   149.92, 0.00410718,    30.20,          0,     0.00, 7.35866E-005,   149.32
Line.LINHA232, 0.00410867,    89.70, 0.00415086,   -30.08, 0.00410718,  -149.80,          0,     0.00, 7.35866E-005,   -30.68, 0.00328694,   -90.30, 0.00332068,   149.92, 0.00328574,    30.20,          0,     0.00, 5.88693E-005,   149.32
Line.LINHA233, 0.00328694,    89.70, 0.00332068,   -30.08, 0.00328574,  -149.80,          0,     0.00, 5.88691E-005,   -30.68,  0.0024652,   -90.30, 0.00249051,   149.92, 0.00246431,    30.20,          0,     0.00, 4.41518E-005,   149.32
Line.LINHA234,  0.0024652,    89.70, 0.00249051,   -30.08, 0.00246431,  -149.80,          0,     0.00, 4.41519E-005,   -30.68, 0.00164347,   -90.30, 0.00166034,   149.92, 0.00164287,    30.20,          0,     0.00, 2.94346E-005,   149.32
Line.LINHA235, 0.00164347,    89.70, 0.00166034,   -30.08, 0.00164287,  -149.80,          0,     0.00, 2.94345E-005,   -30.68, 0.000821734,   -90.30, 0.000830171,   149.92, 0.000821435,    30.20,          0,     0.00, 1.47173E-005,   149.32
Line.LINHA236, 0.000821734,    89.70, 0.000830171,   -30.08, 0.000821435,  -149.80,          0,     0.00, 1.47172E-005,   -30.68, 3.27418E-011,     0.00, 4.65889E-011,    38.66, 3.63798E-011,     0.00,          0,     0.00, 1.09442E-010,    15.42
Line.LINHA237,    51.2813,   -28.65,    51.2791,  -148.65,    51.2793,    91.35,          0,     0.00, 0.00481611,   -30.73,    51.2817,   151.35,    51.2795,    31.35,    51.2797,   -88.65,          0,     0.00, 0.00480135,   149.27
Line.LINHA238,    51.2817,   -28.65,    51.2795,  -148.65,    51.2797,    91.35,          0,     0.00, 0.00480135,   -30.73,    51.2821,   151.35,    51.2799,    31.35,    51.2801,   -88.65,          0,     0.00,  0.0047866,   149.27
Line.LINHA239,    51.2821,   -28.65,    51.2799,  -148.65,    51.2801,    91.35,          0,     0.00,  0.0047866,   -30.73,    51.2825,   151.35,    51.2803,    31.35,    51.2805,   -88.65,          0,     0.00, 0.00477184,   149.27
Line.LINHA240,    51.2825,   -28.65,    51.2803,  -148.65,    51.2805,    91.35,          0,     0.00, 0.00477184,   -30.73,    51.2829,   151.35,    51.2807,    31.35,    51.2809,   -88.66,          0,     0.00, 0.00475709,   149.27
Line.LINHA241,    51.2829,   -28.65,    51.2807,  -148.65,    51.2809,    91.34,          0,     0.00, 0.00475709,   -30.73,    51.2833,   151.35,    51.2811,    31.35,    51.2813,   -88.66,          0,     0.00, 0.00474235,   149.27
Line.LINHA242,    51.2833,   -28.65,    51.2811,  -148.65,    51.2813,    91.34,          0,     0.00, 0.00474235,   -30.73,    51.2836,   151.34,    51.2815,    31.35,    51.2817,   -88.66,          0,     0.00,  0.0047276,   149.27
Line.LINHA243,    51.2836,   -28.66,    51.2815,  -148.65,    51.2817,    91.34,          0,     0.00,  0.0047276,   -30.73,     51.284,   151.34,    51.2819,    31.35,    51.2821,   -88.66,          0,     0.00, 0.00471286,   149.27
Line.LINHA244,    50.6349,   -28.66,    50.6328,  -148.65,     50.633,    91.34,          0,     0.00, 0.00471286,   -30.73,    50.6353,   151.34,    50.6332,    31.35,    50.6334,   -88.66,          0,     0.00, 0.00469812,   149.27
