Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2125", 13.8, 1,    7886.07,   -0.1,   0.98979, 2,    7886.14, -120.1,    0.9898, 3,    7886.13,  119.9,    0.9898
"2127", 13.8, 1,    7886.25,   -0.1,   0.98981, 2,    7886.32, -120.1,   0.98982, 3,    7886.31,  119.9,   0.98982
"2137", 13.8, 1,    7882.26,   -0.1,   0.98931, 2,    7882.33, -120.1,   0.98932, 3,    7882.32,  119.9,   0.98932
"2141", 13.8, 1,    7882.23,   -0.1,   0.98931, 2,     7882.3, -120.1,   0.98931, 3,    7882.29,  119.9,   0.98931
"2142", 13.8, 1,    7881.45,   -0.1,   0.98921, 2,    7881.52, -120.1,   0.98922, 3,    7881.51,  119.9,   0.98922
"2148", 13.8, 1,    7877.57,   -0.1,   0.98872, 2,    7877.65, -120.1,   0.98873, 3,    7877.64,  119.9,   0.98873
"2152", 13.8, 1,    7873.83,   -0.1,   0.98825, 2,     7873.9, -120.1,   0.98826, 3,    7873.89,  119.9,   0.98826
"2159", 13.8, 1,    7871.84,   -0.1,     0.988, 2,    7871.92, -120.1,   0.98801, 3,    7871.91,  119.9,   0.98801
"2166", 13.8, 1,    7870.03,   -0.1,   0.98778, 2,    7870.11, -120.1,   0.98779, 3,     7870.1,  119.9,   0.98778
"2168", 13.8, 1,    7868.42,   -0.1,   0.98757, 2,     7868.5, -120.1,   0.98758, 3,    7868.49,  119.9,   0.98758
"2176", 13.8, 1,    7862.34,   -0.1,   0.98681, 2,    7862.43, -120.1,   0.98682, 3,    7862.42,  119.9,   0.98682
"2184", 13.8, 1,    7859.79,   -0.1,   0.98649, 2,    7859.88, -120.1,    0.9865, 3,    7859.87,  119.9,    0.9865
"2190", 13.8, 1,    7858.18,   -0.1,   0.98629, 2,    7858.27, -120.1,    0.9863, 3,    7858.26,  119.9,    0.9863
"2193", 13.8, 1,    7856.72,   -0.1,    0.9861, 2,    7856.82, -120.1,   0.98612, 3,     7856.8,  119.9,   0.98611
"2199", 13.8, 1,    7855.18,   -0.1,   0.98591, 2,    7855.28, -120.1,   0.98592, 3,    7855.27,  119.9,   0.98592
"2200", 13.8, 1,    7854.55,   -0.1,   0.98583, 2,    7854.65, -120.1,   0.98584, 3,    7854.64,  119.9,   0.98584
"2219", 13.8, 1,    7848.86,   -0.1,   0.98512, 2,    7848.96, -120.1,   0.98513, 3,    7848.95,  119.9,   0.98513
"2231", 13.8, 1,    7848.67,   -0.1,   0.98509, 2,    7848.77, -120.1,   0.98511, 3,    7848.75,  119.9,    0.9851
"2237", 13.8, 1,    7848.73,   -0.1,    0.9851, 2,    7848.83, -120.1,   0.98511, 3,    7848.82,  119.9,   0.98511
"2241", 13.8, 1,    7848.59,   -0.1,   0.98508, 2,    7848.69, -120.1,    0.9851, 3,    7848.68,  119.9,    0.9851
"2250", 13.8, 1,    7848.44,   -0.1,   0.98507, 2,    7848.54, -120.1,   0.98508, 3,    7848.53,  119.9,   0.98508
