Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA215,    4.21549,   -26.36,    4.21534,  -146.36,    4.21535,    93.64,          0,     0.00, 0.000324213,   -30.74,    4.21585,   153.63,    4.21571,    33.63,    4.21572,   -86.37,          0,     0.00, 0.000309475,   149.26
Line.LINHA216,    4.21585,   -26.37,    4.21571,  -146.37,    4.21572,    93.63,          0,     0.00, 0.000309475,   -30.74,    4.21621,   153.62,    4.21608,    33.62,    4.21609,   -86.38,          0,     0.00, 0.000294737,   149.26
Line.LINHA217,    4.21621,   -26.38,    4.21608,  -146.38,    4.21609,    93.62,          0,     0.00, 0.000294737,   -30.74,    4.21657,   153.61,    4.21645,    33.61,    4.21645,   -86.39,          0,     0.00, 0.000279999,   149.26
Line.LINHA218,    2.63296,   -26.28,    2.63283,  -146.28,    2.63284,    93.72,          0,     0.00, 0.000279999,   -30.74,    2.63332,   153.70,     2.6332,    33.71,    2.63321,   -86.30,          0,     0.00, 0.000265261,   149.26
Line.LINHA219,    2.63332,   -26.30,     2.6332,  -146.29,    2.63321,    93.70,          0,     0.00, 0.000265261,   -30.74,    2.63368,   153.69,    2.63357,    33.69,    2.63357,   -86.31,          0,     0.00, 0.000250524,   149.26
Line.LINHA220,    2.63368,   -26.31,    2.63357,  -146.31,    2.63357,    93.69,          0,     0.00, 0.000250524,   -30.74,    2.63404,   153.67,    2.63393,    33.67,    2.63394,   -86.33,          0,     0.00, 0.000235786,   149.26
Line.LINHA221,    2.63404,   -26.33,    2.63393,  -146.33,    2.63394,    93.67,          0,     0.00, 0.000235786,   -30.74,     2.6344,   153.66,     2.6343,    33.66,     2.6343,   -86.35,          0,     0.00, 0.000221049,   149.26
Line.LINHA222,     2.6344,   -26.34,     2.6343,  -146.34,     2.6343,    93.65,          0,     0.00, 0.000221049,   -30.74,    2.63476,   153.64,    2.63467,    33.64,    2.63467,   -86.36,          0,     0.00, 0.000206312,   149.26
Line.LINHA223,    2.63476,   -26.36,    2.63467,  -146.36,    2.63467,    93.64,          0,     0.00, 0.000206311,   -30.74,    2.63512,   153.62,    2.63503,    33.63,    2.63504,   -86.38,          0,     0.00, 0.000191574,   149.26
Line.LINHA224,    2.63512,   -26.38,    2.63503,  -146.37,    2.63504,    93.62,          0,     0.00, 0.000191574,   -30.74,    2.63548,   153.61,     2.6354,    33.61,    2.63541,   -86.39,          0,     0.00, 0.000176838,   149.26
Line.LINHA225,    2.63548,   -26.39,     2.6354,  -146.39,    2.63541,    93.61,          0,     0.00, 0.000176838,   -30.74,    2.63584,   153.59,    2.63577,    33.59,    2.63577,   -86.41,          0,     0.00, 0.000162101,   149.26
Line.LINHA226,    2.63584,   -26.41,    2.63577,  -146.41,    2.63577,    93.59,          0,     0.00, 0.000162101,   -30.74,     2.6362,   153.58,    2.63614,    33.58,    2.63614,   -86.43,          0,     0.00, 0.000147364,   149.26
Line.LINHA227,     2.6362,   -26.42,    2.63614,  -146.42,    2.63614,    93.57,          0,     0.00, 0.000147364,   -30.74,    2.63656,   153.56,    2.63651,    33.56,    2.63651,   -86.44,          0,     0.00, 0.000132627,   149.26
Line.LINHA228,    2.63656,   -26.44,    2.63651,  -146.44,    2.63651,    93.56,          0,     0.00, 0.000132627,   -30.74,    2.63693,   153.54,    2.63687,    33.54,    2.63688,   -86.46,          0,     0.00, 0.000117891,   149.26
Line.LINHA229,    2.63693,   -26.46,    2.63687,  -146.46,    2.63688,    93.54,          0,     0.00, 0.000117891,   -30.74,    2.63729,   153.53,    2.63724,    33.53,    2.63725,   -86.47,          0,     0.00, 0.000103154,   149.26
Line.LINHA230, 0.00575948,    89.64, 0.00581861,   -30.14, 0.00575738,  -149.86,          0,     0.00, 0.000103154,   -30.74,  0.0049367,   -90.36, 0.00498738,   149.86,  0.0049349,    30.14,          0,     0.00, 8.84177E-005,   149.26
Line.LINHA231,  0.0049367,    89.64, 0.00498738,   -30.14,  0.0049349,  -149.86,          0,     0.00, 8.84178E-005,   -30.74, 0.00411391,   -90.36, 0.00415615,   149.86, 0.00411242,    30.14,          0,     0.00, 7.36815E-005,   149.26
Line.LINHA232, 0.00411391,    89.64, 0.00415615,   -30.14, 0.00411242,  -149.86,          0,     0.00, 7.36815E-005,   -30.74, 0.00329113,   -90.36, 0.00332492,   149.86, 0.00328993,    30.14,          0,     0.00, 5.89452E-005,   149.26
Line.LINHA233, 0.00329113,    89.64, 0.00332492,   -30.14, 0.00328993,  -149.86,          0,     0.00, 5.89453E-005,   -30.74, 0.00246835,   -90.36, 0.00249369,   149.86, 0.00246745,    30.14,          0,     0.00, 4.42089E-005,   149.26
Line.LINHA234, 0.00246835,    89.64, 0.00249369,   -30.14, 0.00246745,  -149.86,          0,     0.00, 4.42088E-005,   -30.74, 0.00164557,   -90.36, 0.00166246,   149.86, 0.00164497,    30.14,          0,     0.00, 2.94725E-005,   149.26
Line.LINHA235, 0.00164557,    89.64, 0.00166246,   -30.14, 0.00164497,  -149.86,          0,     0.00, 2.94725E-005,   -30.74, 0.000822783,   -90.36, 0.00083123,   149.86, 0.000822483,    30.14,          0,     0.00, 1.47362E-005,   149.26
Line.LINHA236, 0.000822783,    89.64, 0.00083123,   -30.14, 0.000822483,  -149.86,          0,     0.00, 1.47362E-005,   -30.74, 5.24677E-011,    33.69, 2.62338E-011,    33.69, 8.73115E-011,   -90.00,          0,     0.00, 7.87015E-011,   -33.69
Line.LINHA237,    126.559,   -26.66,    126.558,  -146.65,    126.558,    93.34,          0,     0.00, 0.00475759,   -30.90,    126.559,   153.34,    126.559,    33.35,    126.558,   -86.66,          0,     0.00, 0.00474286,   149.10
Line.LINHA238,    126.559,   -26.66,    126.559,  -146.65,    126.558,    93.34,          0,     0.00, 0.00474286,   -30.90,     126.56,   153.34,    126.559,    33.34,    126.559,   -86.66,          0,     0.00, 0.00472813,   149.10
Line.LINHA239,     126.56,   -26.66,    126.559,  -146.66,    126.559,    93.34,          0,     0.00, 0.00472813,   -30.90,     126.56,   153.34,     126.56,    33.34,    126.559,   -86.66,          0,     0.00,  0.0047134,   149.10
Line.LINHA240,     126.56,   -26.66,     126.56,  -146.66,    126.559,    93.34,          0,     0.00,  0.0047134,   -30.90,     126.56,   153.34,     126.56,    33.34,     126.56,   -86.66,          0,     0.00, 0.00469868,   149.10
Line.LINHA241,     126.56,   -26.66,     126.56,  -146.66,     126.56,    93.34,          0,     0.00, 0.00469868,   -30.90,    126.561,   153.34,     126.56,    33.34,     126.56,   -86.66,          0,     0.00, 0.00468397,   149.10
Line.LINHA242,    126.561,   -26.66,     126.56,  -146.66,     126.56,    93.34,          0,     0.00, 0.00468397,   -30.90,    126.561,   153.34,    126.561,    33.34,     126.56,   -86.66,          0,     0.00, 0.00466926,   149.10
Line.LINHA243,    126.561,   -26.66,    126.561,  -146.66,     126.56,    93.34,          0,     0.00, 0.00466926,   -30.90,    126.561,   153.34,    126.561,    33.34,    126.561,   -86.66,          0,     0.00, 0.00465456,   149.10
Line.LINHA244,    124.974,   -26.66,    124.973,  -146.66,    124.973,    93.34,          0,     0.00, 0.00465456,   -30.90,    124.974,   153.34,    124.974,    33.34,    124.973,   -86.66,          0,     0.00, 0.00463987,   149.10
Line.LINHA245,    124.974,   -26.66,    124.974,  -146.66,    124.973,    93.34,          0,     0.00, 0.00463987,   -30.90,    124.974,   153.34,    124.974,    33.34,    124.973,   -86.66,          0,     0.00, 0.00463497,   149.09
Line.LINHA246,    124.974,   -26.66,    124.974,  -146.66,    124.973,    93.34,          0,     0.00, 0.00463497,   -30.91,    124.974,   153.34,    124.974,    33.34,    124.973,   -86.66,          0,     0.00, 0.00463007,   149.09
Line.LINHA247,    124.974,   -26.66,    124.974,  -146.66,    124.973,    93.34,          0,     0.00, 0.00463007,   -30.91,    124.975,   153.34,    124.974,    33.34,    124.974,   -86.66,          0,     0.00, 0.00461539,   149.09
Line.LINHA248,    124.975,   -26.66,    124.974,  -146.66,    124.974,    93.34,          0,     0.00, 0.00461539,   -30.91,    124.975,   153.34,    124.975,    33.34,    124.974,   -86.66,          0,     0.00, 0.00460071,   149.09
