Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2041", 13.8, 1,    7951.63,    0.0,   0.99802, 2,    7951.64, -120.0,   0.99802, 3,    7951.63,  120.0,   0.99802
"2042", 13.8, 1,    7950.37,    0.0,   0.99786, 2,    7950.38, -120.0,   0.99786, 3,    7950.38,  120.0,   0.99786
"2043", 13.8, 1,    7949.11,    0.0,    0.9977, 2,    7949.13, -120.0,    0.9977, 3,    7949.12,  120.0,    0.9977
"2045", 13.8, 1,    7946.61,    0.0,   0.99739, 2,    7946.63, -120.0,   0.99739, 3,    7946.62,  120.0,   0.99739
"2046", 13.8, 1,    7946.19,    0.0,   0.99733, 2,    7946.21, -120.0,   0.99734, 3,     7946.2,  120.0,   0.99734
"2047", 13.8, 1,    7945.78,    0.0,   0.99728, 2,     7945.8, -120.0,   0.99728, 3,    7945.79,  120.0,   0.99728
"2048", 13.8, 1,    7944.54,    0.0,   0.99713, 2,    7944.56, -120.0,   0.99713, 3,    7944.55,  120.0,   0.99713
"2049", 13.8, 1,    7943.29,    0.0,   0.99697, 2,    7943.31, -120.0,   0.99697, 3,     7943.3,  120.0,   0.99697
"2050", 13.8, 1,    7943.28,    0.0,   0.99697, 2,     7943.3, -120.0,   0.99697, 3,    7943.29,  120.0,   0.99697
"2051", 13.8, 1,    7943.27,    0.0,   0.99697, 2,    7943.29, -120.0,   0.99697, 3,    7943.28,  120.0,   0.99697
"2052", 13.8, 1,    7943.23,    0.0,   0.99696, 2,    7943.26, -120.0,   0.99697, 3,    7943.25,  120.0,   0.99696
"2053", 13.8, 1,     7943.2,    0.0,   0.99696, 2,    7943.22, -120.0,   0.99696, 3,    7943.21,  120.0,   0.99696
"2054", 13.8, 1,    7943.19,    0.0,   0.99696, 2,    7943.21, -120.0,   0.99696, 3,     7943.2,  120.0,   0.99696
"2055", 13.8, 1,    7943.17,    0.0,   0.99695, 2,    7943.19, -120.0,   0.99696, 3,    7943.18,  120.0,   0.99696
"2056", 13.8, 1,    7943.16,    0.0,   0.99695, 2,    7943.18, -120.0,   0.99696, 3,    7943.17,  120.0,   0.99695
"2058", 13.8, 1,    7943.19,    0.0,   0.99696, 2,    7943.21, -120.0,   0.99696, 3,     7943.2,  120.0,   0.99696
"2059", 13.8, 1,    7943.17,    0.0,   0.99695, 2,    7943.19, -120.0,   0.99696, 3,    7943.18,  120.0,   0.99696
"2060", 13.8, 1,    7943.16,    0.0,   0.99695, 2,    7943.18, -120.0,   0.99696, 3,    7943.17,  120.0,   0.99695
"2062", 13.8, 1,    7942.08,    0.0,   0.99682, 2,     7942.1, -120.0,   0.99682, 3,    7942.09,  120.0,   0.99682
"2063", 13.8, 1,    7940.87,    0.0,   0.99667, 2,    7940.89, -120.0,   0.99667, 3,    7940.88,  120.0,   0.99667
"2064", 13.8, 1,    7939.66,    0.0,   0.99651, 2,    7939.68, -120.0,   0.99652, 3,    7939.67,  120.0,   0.99652
"2066", 13.8, 1,    7937.26,    0.0,   0.99621, 2,    7937.29, -120.0,   0.99622, 3,    7937.28,  120.0,   0.99622
"2067", 13.8, 1,    7936.08,    0.0,   0.99606, 2,     7936.1, -120.0,   0.99607, 3,    7936.09,  120.0,   0.99607
"2068", 13.8, 1,    7934.89,    0.0,   0.99592, 2,    7934.92, -120.0,   0.99592, 3,    7934.91,  120.0,   0.99592
"2069", 13.8, 1,    7933.71,    0.0,   0.99577, 2,    7933.74, -120.0,   0.99577, 3,    7933.73,  120.0,   0.99577
"2070", 13.8, 1,    7932.52,    0.0,   0.99562, 2,    7932.55, -120.0,   0.99562, 3,    7932.54,  120.0,   0.99562
"2072", 13.8, 1,    7932.47,    0.0,   0.99561, 2,     7932.5, -120.0,   0.99562, 3,    7932.49,  120.0,   0.99561
"2073", 13.8, 1,    7932.46,    0.0,   0.99561, 2,    7932.49, -120.0,   0.99561, 3,    7932.48,  120.0,   0.99561
"2074", 13.8, 1,    7932.44,    0.0,   0.99561, 2,    7932.47, -120.0,   0.99561, 3,    7932.46,  120.0,   0.99561
"2075", 13.8, 1,    7932.43,    0.0,   0.99561, 2,    7932.46, -120.0,   0.99561, 3,    7932.45,  120.0,   0.99561
"2077", 13.8, 1,    7931.37,    0.0,   0.99547, 2,     7931.4, -120.0,   0.99548, 3,    7931.39,  120.0,   0.99548
