Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA212,    29.6045,   -78.23,    29.6014,   161.77,    29.6041,    41.77,          0,     0.00, 0.00520791,   -30.61,    29.6053,   101.77,    29.6022,   -18.23,    29.6049,  -138.23,          0,     0.00, 0.00519309,   149.39
Line.LINHA213,     39.089,  -173.31,    39.0891,    66.69,    39.0892,   -53.31,          0,     0.00, 0.000356083,   -30.52,    39.0891,     6.69,    39.0892,  -113.31,    39.0893,   126.69,          0,     0.00, 0.00034126,   149.49
Line.LINHA214,    39.0891,  -173.31,    39.0892,    66.69,    39.0893,   -53.31,          0,     0.00, 0.00034126,   -30.51,    39.0892,     6.69,    39.0893,  -113.31,    39.0894,   126.69,          0,     0.00, 0.000326437,   149.49
Line.LINHA215,    39.0892,  -173.31,    39.0893,    66.69,    39.0894,   -53.31,          0,     0.00, 0.000326437,   -30.51,    39.0893,     6.69,    39.0894,  -113.31,    39.0895,   126.69,          0,     0.00, 0.000311612,   149.49
Line.LINHA216,    39.0893,  -173.31,    39.0894,    66.69,    39.0895,   -53.31,          0,     0.00, 0.000311612,   -30.51,    39.0894,     6.69,    39.0895,  -113.31,    39.0896,   126.69,          0,     0.00, 0.000296785,   149.49
Line.LINHA217,    39.0894,  -173.31,    39.0895,    66.69,    39.0896,   -53.31,          0,     0.00, 0.000296785,   -30.51,    39.0895,     6.69,    39.0896,  -113.31,    39.0897,   126.69,          0,     0.00, 0.000281957,   149.49
Line.LINHA218,     39.618,  -173.85,     39.618,    66.15,    39.6181,   -53.85,          0,     0.00, 0.000281957,   -30.51,    39.6181,     6.15,    39.6181,  -113.85,    39.6182,   126.15,          0,     0.00, 0.000267128,   149.50
Line.LINHA219,    39.6181,  -173.85,    39.6181,    66.15,    39.6182,   -53.85,          0,     0.00, 0.000267128,   -30.50,    39.6182,     6.15,    39.6182,  -113.85,    39.6183,   126.15,          0,     0.00, 0.000252297,   149.50
Line.LINHA220,    39.6182,  -173.85,    39.6182,    66.15,    39.6183,   -53.85,          0,     0.00, 0.000252297,   -30.50,    39.6182,     6.15,    39.6183,  -113.85,    39.6184,   126.15,          0,     0.00, 0.000237466,   149.50
Line.LINHA221,    39.6182,  -173.85,    39.6183,    66.15,    39.6184,   -53.85,          0,     0.00, 0.000237465,   -30.50,    39.6183,     6.16,    39.6184,  -113.84,    39.6184,   126.16,          0,     0.00, 0.000222632,   149.50
Line.LINHA222,    39.6183,  -173.84,    39.6184,    66.16,    39.6184,   -53.84,          0,     0.00, 0.000222632,   -30.50,    39.6184,     6.16,    39.6185,  -113.84,    39.6185,   126.16,          0,     0.00, 0.000207798,   149.50
